instance_number,instance,number_of_machines,number_of_orders,number_of_workers,alpha,lower_bound,Tc,Tcry,q,IT,gha_gap,gha_obj,sa_Gap,sa_obj,sa_Time
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,1,0.9,50,15.668584883428538,148.38,15.669,148.38,0.389
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,1,0.9,50,15.668584883428538,148.38,10.36,141.57000000000002,0.628
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,1,0.9,50,15.668584883428538,148.38,15.669,148.38,0.472
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,1,0.9,50,15.668584883428538,148.38,15.669,148.38,0.464
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,1,0.9,50,15.668584883428538,148.38,15.669,148.38,0.646
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,1,0.9,100,15.668584883428538,148.38,15.669,148.38,0.97
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,1,0.9,100,15.668584883428538,148.38,15.669,148.38,0.539
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,1,0.9,100,15.668584883428538,148.38,15.669,148.38,0.544
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,1,0.9,100,15.668584883428538,148.38,14.944,147.45,0.566
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,1,0.9,100,15.668584883428538,148.38,15.372,148.0,0.529
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,1,0.95,50,15.668584883428538,148.38,15.669,148.38,0.548
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,1,0.95,50,15.668584883428538,148.38,15.669,148.38,0.471
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,1,0.95,50,15.668584883428538,148.38,15.669,148.38,0.599
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,1,0.95,50,15.668584883428538,148.38,15.669,148.38,0.568
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,1,0.95,50,15.668584883428538,148.38,15.669,148.38,0.537
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,1,0.95,100,15.668584883428538,148.38,15.669,148.38,1.078
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,1,0.95,100,15.668584883428538,148.38,15.669,148.38,1.52
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,1,0.95,100,15.668584883428538,148.38,15.669,148.38,1.78
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,1,0.95,100,15.668584883428538,148.38,15.669,148.38,1.062
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,1,0.95,100,15.668584883428538,148.38,15.669,148.38,1.112
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,20,0.9,50,15.668584883428538,148.38,12.948,144.89000000000001,0.113
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,20,0.9,50,15.668584883428538,148.38,13.018,144.98,0.099
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,20,0.9,50,15.668584883428538,148.38,15.669,148.38,0.109
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,20,0.9,50,15.668584883428538,148.38,15.669,148.38,0.1
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,20,0.9,50,15.668584883428538,148.38,15.669,148.38,0.104
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,20,0.9,100,15.668584883428538,148.38,15.404,148.04000000000002,0.201
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,20,0.9,100,15.668584883428538,148.38,15.669,148.38,0.301
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,20,0.9,100,15.668584883428538,148.38,15.669,148.38,0.205
1639049590.7328012,1639049590.7328012-Work5,2,10,5,0,128.2802933480497,200,20,0.9,100,15.668584883428538,148.38,15.669,148.38,0.219
